submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
01/01/2021,20381151,11758228.0,1025301.0,229386,26616.0,365126,218621.0,21866.0,3008,191.0
01/02/2021,20605437,11915245.0,1038687.0,224286,20063.0,367459,220021.0,22023.0,2333,255.0
01/03/2021,20810860,12042759.0,1050779.0,205423,19541.0,369451,221050.0,22170.0,1992,227.0
01/04/2021,20985719,12134292.0,1065969.0,174859,26329.0,371609,222054.0,22338.0,2158,289.0
01/05/2021,21230780,12761235.0,1142215.0,245061,39488.0,375152,224172.0,22626.0,3543,395.0
01/06/2021,21490558,12899876.0,1170872.0,259778,45385.0,379027,226013.0,22980.0,3875,460.0
01/07/2021,21761640,13055372.0,1195555.0,271082,38207.0,383037,228484.0,23240.0,4010,506.0
01/08/2021,22055663,13238882.0,1219247.0,294023,38393.0,386850,230662.0,23519.0,3813,559.0
01/09/2021,22310845,13400064.0,1240841.0,255182,30752.0,390159,232526.0,23711.0,3309,431.0
01/10/2021,22534374,13542957.0,1254704.0,223529,22236.0,392672,233984.0,23829.0,2513,257.0
01/11/2021,22738860,13673339.0,1269674.0,204486,23226.0,395355,235425.0,24038.0,2683,329.0
01/12/2021,22957552,13795757.0,1290747.0,218692,33454.0,398985,237361.0,24357.0,3630,597.0
01/13/2021,23186993,13926780.0,1314715.0,229441,37010.0,403073,239562.0,24692.0,4088,215.0
01/14/2021,23411276,14053072.0,1335061.0,224283,33755.0,406777,241614.0,24945.0,3704,574.0
01/15/2021,23651256,14194730.0,1354716.0,239980,31520.0,410182,243406.0,25198.0,3405,456.0
01/16/2021,23864081,14323623.0,1374483.0,212825,28230.0,413680,245490.0,25378.0,3498,262.0
01/17/2021,24046650,14442680.0,1386890.0,182569,15833.0,416225,246851.0,25529.0,2545,332.0
01/18/2021,24197852,14538681.0,1398334.0,151202,16874.0,418500,248096.0,25672.0,2275,304.0
01/19/2021,24349372,14624729.0,1416907.0,150936,26367.0,421243,249657.0,25894.0,2743,291.0
01/20/2021,24538642,14720213.0,1438742.0,189270,35193.0,425081,251669.0,26208.0,3838,692.0
01/21/2021,24728314,14819177.0,1460014.0,189672,32646.0,428909,253873.0,26462.0,3828,525.0
01/22/2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/22/2021,24918810,14926154.0,1478533.0,190496,29349.0,432580,256088.0,26731.0,3671,400.0
01/23/2020,1,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
01/23/2021,25083400,15023887.0,1494252.0,164590,22730.0,435523,257814.0,26919.0,2943,403.0
01/24/2020,2,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
01/24/2021,25226956,15111288.0,1506877.0,143556,18383.0,437981,259247.0,27026.0,2458,234.0
01/25/2020,2,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/25/2021,25360821,15197382.0,1518897.0,133865,16842.0,440113,260347.0,27204.0,2132,260.0
01/26/2020,3,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
01/26/2021,25508729,15271524.0,1535787.0,147908,26708.0,443652,262421.0,27503.0,3539,473.0
01/27/2020,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/27/2021,25668758,15355547.0,1556534.0,160029,31932.0,447644,264846.0,27759.0,3992,506.0
01/28/2020,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/28/2021,25825604,15437909.0,1575011.0,156846,28016.0,451466,267124.0,28061.0,3822,-1010.0
01/29/2020,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/29/2021,25989782,15522138.0,1595762.0,164178,31729.0,454705,269055.0,28294.0,3239,149.0
01/30/2020,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
01/30/2021,26127166,15600136.0,1607967.0,137384,19435.0,457436,270741.0,28430.0,2731,336.0
01/31/2020,4,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
01/31/2021,26238641,15666816.0,1616577.0,111475,13109.0,459700,271997.0,28531.0,2264,374.0
02/01/2020,5,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
